n_robots prey          seeds captures moves_min moves_max avg_moves std_moves converges moves_converged_min moves_converged_max avg_moves_converged std_moves_converged rumtimes_min(s) rumtimes_max(s) avg_rumtime(s) std_runtime
4        still         100   100      6         121       30.450    19.943    100       6                   121                 30.450              19.943              2.4461          14.9741         5.1195         2.3470     
4        random        100   100      5         156       49.840    36.867    100       5                   157                 49.980              36.949              2.1928          18.7394         7.3812         4.2671     
4        linear        100   100      7         167       46.900    31.886    100       7                   167                 49.770              32.895              2.4824          18.6383         6.8754         3.4753     
4        linear\_smart 100   100      7         923       204.060   198.927   100       7                   923                 217.200             206.627             2.3276          93.3529         23.6559        20.9326    
8        still         100   100      8         86        22.220    13.384    100       11                  95                  26.570              13.898              5.0689          24.2526         8.8635         3.2685     
8        random        100   100      9         119       33.780    23.039    100       13                  186                 44.510              29.893              5.5919          42.7183         12.7498        6.6724     
8        linear        100   100      9         252       42.240    46.583    100       13                  252                 51.990              52.329              5.3563          57.5838         14.1091        11.2115    
8        linear\_smart 100   100      16        497       121.820   111.922   100       20                  879                 169.310             159.716             7.1052          185.0724        38.0740        33.0651    
12       still         100   100      6         69        20.470    11.364    100       12                  73                  26.020              11.168              8.0093          27.8710         13.1082        3.9256     
12       random        100   100      8         78        24.520    13.414    100       14                  116                 31.900              19.672              8.7823          43.3955         14.8476        6.7421     
12       linear        100   100      9         147       30.190    24.943    100       13                  157                 37.310              26.230              8.4658          58.4350         16.5132        8.7017     
12       linear\_smart 100   100      9         347       76.780    72.839    100       17                  395                 99.800              82.738              9.7240          135.0737        36.4919        27.0107    
16       still         100   100      5         50        17.360    9.648     100       13                  65                  25.780              11.204              10.8509         34.4375         17.3350        5.2935     
16       random        100   100      7         71        18.360    11.277    100       13                  109                 27.160              15.825              11.2254         53.7584         17.4588        7.0535     
16       linear        100   100      8         146       25.620    23.560    100       13                  153                 35.180              26.659              10.5277         70.9899         21.1604        11.6889    
16       linear\_smart 100   100      8         277       49.850    50.048    100       15                  281                 64.930              52.541              11.9890         126.8285        34.0180        23.0869    
24       still         100   100      4         51        15.060    10.688    100       13                  66                  26.910              11.281              16.7258         58.5051         27.3296        8.2455     
24       random        100   100      4         48        14.060    6.151     100       13                  78                  24.760              9.965               16.8935         60.6976         24.8854        6.9991     
24       linear        100   100      5         180       19.670    21.879    100       13                  190                 34.340              23.488              16.0716         135.4075        31.6456        15.8203    
24       linear\_smart 100   100      7         158       35.400    32.588    100       16                  177                 51.010              35.203              18.5431         129.8472        42.5051        23.9087    
